Year,0,1,2,3,4,5,6,7,Total
1984,0.000,0.571,0.331,0.072,0.014,0.004,0.004,0.003,0.999
1985,0.240,0.339,0.528,0.075,0.001,0.008,0.000,0.000,1.191
1986,0.172,1.170,0.298,0.072,0.006,0.001,0.000,0.000,1.719
1987,0.075,1.067,0.223,0.033,0.003,0.000,0.000,0.000,1.401
1988,0.015,0.884,0.481,0.037,0.002,0.001,0.000,0.000,1.420
1989,0.000,0.029,0.095,0.015,0.001,0.000,0.000,0.000,0.140
1990,0.032,0.674,0.110,0.042,0.007,0.005,0.000,0.000,0.870
1991,0.036,0.826,0.340,0.036,0.013,0.005,0.004,0.000,1.260
1992,0.013,0.570,0.366,0.046,0.016,0.009,0.000,0.000,1.020
1993,0.084,0.827,0.152,0.039,0.003,0.001,0.002,0.001,1.109
1994,0.132,0.300,0.085,0.024,0.009,0.000,0.000,0.000,0.550
1995,0.023,0.384,0.117,0.012,0.002,0.001,0.000,0.002,0.541
1996,0.069,0.887,1.188,0.042,0.005,0.000,0.000,0.000,2.191
1997,0.033,0.681,1.373,0.373,0.021,0.014,0.004,0.001,2.500
1998,0.000,0.269,1.054,0.321,0.054,0.021,0.000,0.000,1.719
1999,0.044,0.679,1.484,0.346,0.114,0.011,0.002,0.000,2.680
2000,0.112,0.395,0.871,0.341,0.124,0.043,0.011,0.013,1.910
2001,0.021,2.689,1.137,0.436,0.110,0.018,0.005,0.001,4.417
2002,0.442,3.087,1.930,0.479,0.123,0.031,0.024,0.005,6.121
2003,0.000,1.459,1.319,0.407,0.087,0.091,0.016,0.009,3.388
2004,0.255,0.385,0.755,0.440,0.080,0.024,0.015,0.000,1.954
2005,0.067,1.093,0.744,0.355,0.087,0.032,0.012,0.020,2.410
2006,0.098,0.217,0.592,0.230,0.096,0.044,0.021,0.018,1.315
2007,0.130,0.567,0.387,0.468,0.201,0.078,0.041,0.016,1.888
2008,0.681,0.515,1.155,0.660,0.048,0.013,0.013,0.000,3.085
2009,0.405,0.661,0.888,0.624,0.318,0.133,0.044,0.044,3.117
2010,,,,,,,,,
2011,0.117,0.693,0.933,0.564,0.123,0.054,0.028,0.084,2.558
2012,0.163,0.459,0.828,1.424,0.585,0.184,0.063,0.030,3.736
