Year,0,1,2,3,4,5,6,7+,Total
1984,0.000,0.314,0.271,0.044,0.000,0.000,0.000,0.000,0.629
1985,0.000,0.015,0.325,0.040,0.058,0.003,0.000,0.000,0.441
1986,0.000,0.753,0.100,0.082,0.008,0.006,0.000,0.000,0.949
1987,0.000,0.951,0.086,0.014,0.004,0.001,0.000,0.001,1.057
1988,0.000,0.232,0.223,0.035,0.009,0.001,0.000,0.000,0.500
1989,0.000,0.013,0.049,0.024,0.016,0.000,0.000,0.000,0.102
1990,0.000,0.304,0.022,0.013,0.006,0.001,0.000,0.001,0.347
1991,0.000,0.392,0.189,0.029,0.028,0.001,0.000,0.000,0.639
1992,0.000,0.319,0.188,0.021,0.004,0.023,0.000,0.000,0.555
1993,0.000,0.320,0.151,0.015,0.018,0.003,0.000,0.001,0.508
1994,0.000,0.496,0.314,0.025,0.018,0.005,0.000,0.002,0.860
1995,0.000,0.199,0.051,0.020,0.005,0.000,0.000,0.006,0.281
1996,0.000,0.578,0.266,0.086,0.023,0.004,0.000,0.004,0.961
1997,0.000,0.391,0.507,0.057,0.036,0.004,0.002,0.002,0.999
1998,0.000,0.064,0.594,0.503,0.116,0.006,0.025,0.002,1.310
1999,0.000,0.245,0.593,0.385,0.139,0.053,0.025,0.000,1.440
2000,0.000,0.321,0.726,0.524,0.074,0.111,0.034,0.000,1.790
2001,0.000,0.841,0.340,0.365,0.120,0.043,0.032,0.007,1.748
2002,0.000,1.057,1.264,0.465,0.233,0.087,0.044,0.035,3.185
2003,0.000,1.608,1.016,0.395,0.232,0.085,0.046,0.039,3.421
2004,0.000,0.259,0.818,0.410,0.194,0.032,0.077,0.048,1.838
2005,0.000,0.253,0.264,0.150,0.033,0.036,0.039,0.029,0.804
2006,0.000,0.038,0.360,0.068,0.065,0.034,0.026,0.022,0.613
2007,0.000,1.152,0.210,0.560,0.316,0.115,0.089,0.065,2.507
2008,0.000,0.601,0.291,0.237,0.263,0.117,0.062,0.043,1.614
2009,0.000,0.777,0.377,0.291,0.180,0.195,0.070,0.040,1.930
2010,0.000,1.867,0.281,0.211,0.144,0.094,0.042,0.049,2.688
2011,0.000,1.002,1.084,0.801,0.382,0.316,0.110,0.153,3.848
2012,0.000,0.468,0.628,0.975,0.635,0.204,0.075,0.076,3.062
