Year,Age-1,Age-2,Age-3,Age-4,Age-5,Age-6,Age-7+
1984,8.21,44.01,31.83,20.96,4.23,1.23,1.49
1985,4.11,28.46,32.88,14.17,2.33,0.82,0.8
1986,6.69,26,15.53,12.26,2.05,0.5,0.62
1987,7.32,44.69,14.56,5.05,6.55,1.28,0.48
1988,14.49,71.87,39.1,8.59,1.83,1.46,0.25
1989,13.56,78.43,41.23,10.85,2.84,0.98,0.3
1990,11.31,131.52,64.97,8.97,4.09,1.96,0.27
1991,8.52,66.99,60.39,9.31,4.05,0.8,0.15
1992,6.8,31.32,12.78,8.97,1.1,0.36,0.05
1993,19.11,19.87,15.46,4.81,3.24,0.8,0.3
1994,9.57,64.14,5.86,3.01,1.14,0.49,0.24
1995,14.35,23.69,9.77,1.36,0.63,0.2,0.12
1996,11.46,59.07,24.17,14.41,0.97,0.28,0.25
1997,12.53,25.53,19.41,9.45,3.76,0.51,0.12
1998,11.22,32.4,12.23,12.67,3.15,0.99,0.24
1999,6.56,12.42,11.27,6.09,3.2,1.14,0.67
2000,7.11,16.66,8.4,7.7,3.42,1.53,0.6
2001,8.45,19.6,10.85,8.06,5.46,1.28,0.81
2002,6.27,19.9,9.56,4.43,1.95,1.02,0.59
2003,2.47,7.83,8.71,4.79,1.95,0.77,1.32
2004,6.34,3.84,3.49,3.88,1.91,0.64,0.36
2005,7.06,6.18,0.84,0.81,0.67,0.21,0.33
2006,1.14,2.6,1.1,0.19,0.14,0.17,0.24
2007,2.98,10.83,10.7,3.1,0.61,0.15,0.29
2008,11.48,3.48,4.19,4.12,0.65,0.12,0.08
2009,7.56,11.21,1.02,1.31,1.21,0.22,0.11
2010,6.64,8.45,3.94,0.71,0.57,0.44,0.13
2011,6.54,9.34,6.53,3.66,1.15,0.3,0.43
2012,4.84,5.61,2.51,1.97,0.62,0.09,0.14
2013,0.61,3.5,1.94,1.96,1.33,0.48,0.26
2014,0.85,0.64,2.08,1.36,0.62,0.26,0.13
2015,0.89,0.84,0.29,0.64,0.65,0.22,0.41
2016,0.93,0.73,1,0.79,0.4,0.08,0.05
