Year,Total,,Age-1,Age-2,Age-3,Age-4,Age-5,Age-6,Age-7+,,<- SNEMA Assessment 'Survey',April/May mean#/tow LISTS  ->,Year,Age-1-13,Age-4+,Age-0,Age-1,Age-2,Age-3,Age-4,Age-5,Age-6,Age-7,Age-8,Age-9,Age-10,Age-11,Age-12,Age-13,Age-3+ Sum,Age-3+ Mean,Age-4+ Sum,Age-4+ Mean,Age-7+ Sum
1981,0,0.4,0,0,0,0,0,0,0,0,,,1984,111.96,27.91,-,8.21,44.01,31.83,20.96,4.23,1.23,0.67,0.74,0.04,0.01,0.03,0,0,59.74,5.430909091,27.91,2.791,1.49
1982,0,0.4,0,0,0,0,0,0,0,0,,,1985,83.58,18.13,-,4.11,28.46,32.88,14.17,2.33,0.82,0.45,0.19,0.11,0.04,0.02,0,0,51.01,4.637272727,18.13,1.813,0.81
1983,0,0.4,0,0,0,0,0,0,0,0,,,1986,63.65,15.43,-,6.69,26,15.53,12.26,2.05,0.5,0.24,0.24,0.1,0.01,0.03,0,0,30.96,2.814545455,15.43,1.543,0.62
1984,111.96,0.4,8.21,44.01,31.83,20.96,4.23,1.23,1.49,10,,,1987,79.92,13.35,-,7.32,44.69,14.56,5.05,6.55,1.28,0.11,0.24,0.13,0,0,0,0,27.92,2.538181818,13.36,1.336,0.48
1985,83.57,0.4,4.11,28.46,32.88,14.17,2.33,0.82,0.8,10,,,1988,137.59,12.13,15.4,14.49,71.87,39.1,8.59,1.83,1.46,0.16,0.04,0.02,0.02,0,0,0,51.22,4.656363636,12.12,1.212,0.24
1986,63.65,0.4,6.69,26,15.53,12.26,2.05,0.5,0.62,10,,,1989,148.19,14.97,1.66,13.56,78.43,41.23,10.85,2.84,0.98,0.14,0.09,0.06,0.01,0,0,0,56.2,5.109090909,14.97,1.497,0.3
1987,79.93,0.4,7.32,44.69,14.56,5.05,6.55,1.28,0.48,10,,,1990,223.09,15.29,2.8,11.31,131.52,64.97,8.97,4.09,1.96,0.19,0.05,0,0.02,0,0,0,80.25,7.295454545,15.28,1.528,0.26
1988,137.59,0.4,14.49,71.87,39.1,8.59,1.83,1.46,0.25,10,,,1991,150.2,14.31,5.23,8.52,66.99,60.39,9.31,4.05,0.8,0.14,0,0,0,0.01,0,0,74.7,6.790909091,14.31,1.431,0.15
1989,148.19,0.4,13.56,78.43,41.23,10.85,2.84,0.98,0.3,10,,,1992,61.39,10.49,11.9,6.8,31.32,12.78,8.97,1.1,0.36,0.05,0,0,0,0,0,0,23.26,2.114545455,10.48,1.048,0.05
1990,223.09,0.4,11.31,131.52,64.97,8.97,4.09,1.96,0.27,10,,,1993,63.6,9.16,5.68,19.11,19.87,15.46,4.81,3.24,0.8,0.15,0.11,0.04,0.01,0,0,0,24.62,2.238181818,9.16,0.916,0.31
1991,150.21,0.4,8.52,66.99,60.39,9.31,4.05,0.8,0.15,10,,,1994,84.44,4.87,14.23,9.57,64.14,5.86,3.01,1.14,0.49,0.17,0.05,0.01,0.01,0,0,0,10.74,0.976363636,4.88,0.488,0.24
1992,61.38,0.4,6.8,31.32,12.78,8.97,1.1,0.36,0.05,10,,,1995,50.12,2.31,10.1,14.35,23.69,9.77,1.36,0.63,0.2,0.08,0.02,0.02,0,0,0,0,12.08,1.098181818,2.31,0.231,0.12
1993,63.59,0.4,19.11,19.87,15.46,4.81,3.24,0.8,0.3,10,,,1996,110.62,15.92,19.22,11.46,59.07,24.17,14.41,0.97,0.28,0.14,0.06,0.04,0.01,0,0,0,40.08,3.643636364,15.91,1.591,0.25
