season,year,NEFSC,MDMF,MENH,30_plus_biomass,FMSY,75FMSY
Spring,2009,0.56,0.25,0.19,4614,1061,796
Spring,2010,0.45,0.34,0.22,3644,838,629
Spring,2011,0.41,0.32,0.27,2210,508,381
Spring,2012,0.66,0.21,0.13,3320,764,573
Spring,2013,0.53,0.31,0.16,2889,664,498
Spring,2014,0.59,0.13,0.28,3467,797,598
Spring,2015,0.58,0.22,0.21,3268,752,564
Spring,2016,0.5,0.25,0.26,4101,943,707
Spring,2017,0.5,0.36,0.14,2775,638,479
Spring,2018,0.54,0.28,0.18,3834,882,661
Spring,2019,0.39,0.21,0.4,2982,686,514
Spring,2020,,,,,,
Spring,2021,0.6,0.22,0.17,4142,953,714
Spring,2022,0.6,0.19,0.21,4746,1092,819
Fall,2009,0.9,0.06,0.03,5671,1304,978
Fall,2010,0.79,0.16,0.05,4144,953,715
Fall,2011,0.81,0.14,0.05,5000,1150,862
Fall,2012,0.83,0.08,0.08,2635,606,455
Fall,2013,0.73,0.11,0.15,2183,502,377
Fall,2014,0.88,0.07,0.05,3332,766,575
Fall,2015,0.76,0.18,0.06,2432,559,419
Fall,2016,0.87,0.08,0.05,3037,699,524
Fall,2017,0.73,0.22,0.05,3039,699,524
Fall,2018,0.7,0.16,0.14,2610,600,450
Fall,2019,0.79,0.13,0.08,2620,603,452
Fall,2020,,,,,,
Fall,2021,0.81,0.07,0.12,5093,1171,879
