Year,1,2,3,4,5,6,7+,Total,,,
1995,0.60,0.30,1.40,0.40,0.10,0.01,0.01,2.82,,,
1996,0.30,0.90,0.70,0.70,0.20,0.10,0.15,3.05,,,
1997,1.10,0.40,0.90,0.40,0.40,0.10,0.05,3.35,,,
1998,1.90,0.90,0.40,0.70,0.20,0.10,0.05,4.25,,,
1999,0.20,0.50,1.40,0.50,0.40,0.10,0.13,3.23,,,
2000,0.40,0.20,0.40,0.80,0.20,0.10,0.01,2.11,,,
2001,1.40,0.30,0.20,0.40,0.40,0.10,0.04,2.84,,,
2002,1.21,0.48,0.49,0.18,0.27,0.13,0.04,2.80,,,
2003,0.05,0.22,0.90,0.18,0.03,0.10,0.09,1.57,,,
2004,0.67,0.02,0.10,0.29,0.05,0.00,0.14,1.27,,,
2005,0.42,0.24,0.17,0.20,0.09,0.02,0.03,1.17,,,
