Year,1,2,3,4,5,6,7+,Total,,,
1993,5.1,6.5,2.5,2.4,1.7,0.4,0.57,19.17,,,
1994,3.7,4.2,3.9,1.4,0.4,0.3,0.16,14.06,,,
1995,8,10.1,8.6,2.4,0.9,0.3,0.11,30.41,,,
1996,0.6,2.9,2.6,1.9,0.9,0.3,0.2,9.4,,,
1997,16.6,5.4,6.1,6,1.5,0.3,0.12,36.02,,,
1998,4.5,3.9,4.8,3.3,1.2,0.4,0.1,18.2,,,
1999,2.4,2.2,5.9,3.1,2.9,0.7,0.59,17.79,,,
2000,0.7,0.3,2.1,3.3,2,0.9,0.8,10.1,,,
2001,3.9,0.6,1.3,2.7,3.8,0.7,0.83,13.83,,,
2002,5.81,3.21,4.55,2.22,2.8,2.16,1.83,22.58,,,
2003,2.08,1.1,4.79,1.24,1.09,0.87,1.35,12.52,,,
2004,6.48,0.72,1.42,2.08,0.56,1.38,1.57,14.21,,,
2005,4.97,10.04,2.55,2.76,2.61,1.32,1.42,25.67,,,
2006,0.64,2.49,9.43,3.23,0.62,0.75,0.97,18.13,,,
2007,3.8,0.67,4.33,6.09,1.51,0.62,1.56,18.58,,,
2008,5.57,1.59,0.83,1.75,1.69,0.21,0.37,12.01,,,
2009,2.84,4.35,3.54,1.34,1.48,0.33,0.1,13.98,,,
2010,0.75,1.59,2.63,1.5,0.94,0.37,0.21,7.99,,,
2011,0.54,1.04,3.68,2.03,0.58,0.45,0.35,8.67,,,
2012,0.15,3.3,3,2.34,1.38,0.11,0.72,11,,,
2013,0.11,1.28,1.66,1.73,1.24,0.37,0.51,6.9,,,
2014,2,0.37,0.58,0.43,0.52,0.17,0.2,4.27,,,
2015,6.13,1.05,0.16,0.64,0.39,0.6,0.76,9.75,,,
2016,5,0.86,0.13,0.52,0.32,0.49,0.62,7.95,,,
2017,0.19,0.34,0.63,0.19,0.06,0.07,0.08,1.55,,,
2018,0.52,0.94,1.72,0.53,0.15,0.2,0.22,4.28,,,
