Year,1,2,3,4,5,6,7+,Total,
1981,45.670,27.880,12.860,1.270,0.230,0.050,0.020,87.980,
1982,13.420,9.740,5.020,2.310,0.330,0.110,0.020,30.950,
1983,29.490,9.790,10.980,6.000,2.130,0.560,0.000,58.950,
1984,6.670,16.790,13.940,2.960,0.830,0.350,0.100,41.640,
1985,6.010,15.690,10.350,2.240,0.600,0.080,0.010,34.980,
1986,11.940,15.630,9.590,2.630,1.140,0.090,0.000,41.020,
1987,15.300,24.590,13.140,2.660,0.410,0.080,0.040,56.220,
1988,8.930,12.370,9.530,2.920,0.680,0.010,0.000,34.440,
1989,4.790,8.200,4.950,2.330,0.510,0.070,0.030,20.880,
1990,6.460,6.360,4.880,2.160,0.480,0.040,0.060,20.440,
1991,11.210,14.360,12.000,2.780,0.410,0.100,0.110,40.970,
1992,1.300,0.950,1.170,0.750,0.200,0.040,0.000,4.410,
1993,2.320,0.350,0.170,0.060,0.020,0.000,0.000,2.920,
1994,2.840,4.560,1.970,0.630,0.190,0.040,0.030,10.260,
1995,9.360,11.360,9.870,1.470,0.130,0.000,0.000,32.190,
1996,3.110,8.360,7.470,1.560,0.150,0.030,0.000,20.680,
1997,4.900,8.770,6.860,1.480,0.260,0.000,0.000,22.270,
1998,2.110,9.470,5.900,1.600,0.130,0.010,0.000,19.220,
1999,1.710,6.520,4.260,0.820,0.090,0.060,0.000,13.460,
2000,2.880,4.980,5.510,2.190,0.660,0.100,0.000,16.320,
2001,2.460,3.470,3.670,2.230,0.630,0.020,0.010,12.490,
2002,1.600,4.760,3.210,1.240,0.540,0.150,0.060,11.560,
2003,1.720,0.860,1.760,0.500,0.300,0.280,0.140,5.560,
2004,5.470,3.970,1.030,0.440,0.120,0.090,0.040,11.160,
2005,8.860,2.410,1.730,1.380,0.790,0.430,0.140,15.740,
2006,2.070,4.720,5.240,2.240,0.740,0.300,0.050,15.360,
2007,1.190,1.120,2.030,1.620,0.860,0.430,0.080,7.330,
2008,3.290,1.000,1.000,1.120,0.670,0.220,0.060,7.360,
2009,0.370,1.170,0.800,0.700,0.470,0.120,0.040,3.670,
2010,3.240,2.680,3.130,1.240,1.060,0.180,0.030,11.560,
2011,1.460,1.660,2.580,1.130,0.450,0.210,0.040,7.530,
2012,2.900,2.030,4.470,2.220,1.370,0.490,0.390,13.870,
2013,0.560,0.570,0.970,0.960,0.380,0.160,0.060,3.660,
2014,0.830,0.330,0.880,0.650,0.510,0.320,0.200,3.720,
2015,1.342,0.485,0.330,0.238,0.142,0.099,0.154,2.791,
2016,2.333,2.333,1.424,0.165,0.170,0.087,0.193,6.705,
2017,0.530,2.008,1.484,0.899,0.075,0.083,0.171,5.250,
2018,1.158,0.265,1.037,0.271,0.215,0.044,0.101,3.091,
2019,0.908,2.730,0.633,0.453,0.232,0.012,0.099,5.068,
2020,0.223,0.537,0.374,0.385,0.201,0.004,0.095,1.818,
2021,0.587,0.968,0.637,0.354,0.057,0.057,0.000,2.659,
