Year,MADMF,CTDEP,,,,,,,
1981,0.34,,,,,,,,
1982,0.37,,,,,,,,
1983,0.23,,,,,,,,
1984,0.32,,,,,,,,
1985,0.34,,,,,,,,
1986,0.33,,,,,,,,
1987,0.27,,,,,,,,
1988,0.18,15.40,,,,,,,
1989,0.42,1.66,,,,,,,
1990,0.33,2.80,,,,,,,
1991,0.27,5.23,,,,,,,
1992,0.29,11.90,,,,,,,
1993,0.07,5.68,,,,,,,
1994,0.15,14.23,,,,,,,
1995,0.15,10.10,,,,,,,
1996,0.22,19.22,,,,,,,
1997,0.39,7.47,,,,,,,
1998,0.17,9.16,,,,,,,
1999,0.20,8.70,,,,,,,
2000,0.35,4.33,,,,,,,
2001,0.21,1.34,,,,,,,
2002,0.10,3.06,,,,,,,
2003,0.20,8.07,,,,,,,
2004,0.10,10.96,,,,,,,
2005,0.08,5.63,,,,,,,
2006,0.16,0.93,,,,,,,
2007,0.17,4.73,,,,,,,
2008,0.09,1.97,,,,,,,
2009,0.08,0.77,,,,,,,
2010,0.09,0.96,,,,,,,
2011,0.25,1.12,,,,,,,
2012,0.14,0.29,,,,,,,
2013,0.25,0.27,,,,,,,
2014,0.19,0.47,,,,,,,
2015,0.13,0.64,,,,,,,
2016,0.19,0.63,,,,,,,
2017,0.29,1.03,,,,,,,
2018,0.11,0.42,,,,,,,
2019,0.14,0.69,,,,,,,
2020,0.24,0.42,,,,,,,
2021,0.22,0.39,,,,,,,
