Year,1,2,3,4,5,
1992,0.73,0.86,1.09,0.73,0.24,
1993,0.56,1.16,0.54,0.18,0.12,
1994,0.36,1.16,1.76,0.25,0.28,
1995,0.04,0.75,1.26,0.17,0,
1996,1.01,0.87,1.55,0.32,0.02,
1997,0.43,1.49,1.32,0.54,0.13,
1998,0.42,3.52,1.95,0.96,0.32,
1999,0.84,5.94,2.23,0.96,0.2,
2000,0.23,2.82,2.12,0.24,0.16,
2001,1.04,0.55,0.7,0.54,0.22,
2002,0.08,1.34,0.74,0.15,0.21,
2003,0.09,0.57,1.04,0.25,0.22,
2004,2.17,1.02,0.43,0.36,0.22,
2005,0.39,2.56,0.36,0.43,0.27,
2006,0,2.4,1.73,0.51,0.27,
2007,0.02,0.56,1.03,1.03,0.13,
