index,YEAR,CRUISE6,SEASON,ID,TOWDATE,STRATUM,STATION,BEGLAT,BEGLON,SETDEPTH,BOTTEMP,COMNAME,N_CAUGHT,KG_CAUGHT
1,1948,194805,SUMMER,1.95E+17,8/19/48 20:52,1100,601,4046,6912,66,,HADDOCK,26,
2,1948,194805,SUMMER,1.95E+17,8/19/48 8:49,1100,301,4008,6928,91,,HADDOCK,5,
3,1948,194805,SUMMER,1.95E+17,8/22/48 13:30,1130,2601,4044,6717,95,,HADDOCK,48,
4,1948,194805,SUMMER,1.95E+17,7/15/48 10:39,1160,502,4112,6633,91,6.4,HADDOCK,4,
5,1948,194805,SUMMER,1.95E+17,7/16/48 4:25,1160,1301,4123,6707,59,11.1,HADDOCK,2,
6,1948,194805,SUMMER,1.95E+17,7/16/48 12:40,1160,1701,4137,6653,66,9.7,HADDOCK,20,
7,1948,194805,SUMMER,1.95E+17,7/17/48 3:30,1160,2201,4147,6602,91,6.9,HADDOCK,9,
8,1948,194805,SUMMER,1.95E+17,7/20/48 3:19,1160,3201,4158,6625,80,6.7,HADDOCK,109,
9,1948,194805,SUMMER,1.95E+17,7/19/48 13:01,1160,3101,4151,6619,84,,HADDOCK,142,
10,1948,194805,SUMMER,1.95E+17,7/17/48 22:20,1170,2402,4200,6555,157,,HADDOCK,35,
11,1948,194805,SUMMER,1.95E+17,7/14/48 14:49,1190,101,4112,6709,55,10.8,HADDOCK,1,
12,1948,194805,SUMMER,1.95E+17,8/21/48 19:56,1190,1901,4051,6832,55,,HADDOCK,1,
13,1948,194805,SUMMER,1.95E+17,8/24/48 2:15,1210,3701,4155,6757,88,,HADDOCK,1,
14,1948,194805,SUMMER,1.95E+17,8/24/48 3:30,1210,3702,4154,6759,82,,HADDOCK,4,
15,1948,194805,SUMMER,1.95E+17,9/10/48 1:32,1230,301,4119,6921,57,,HADDOCK,17,
16,1948,194805,SUMMER,1.95E+17,8/24/48 20:20,1290,4202,4153,6821,198,,HADDOCK,5,
