Year,Stratified Mean,Standard Error,Lower CI,Upper CI,
1976,0.344,0.042,0.236,0.452,
1977,0.641,0.062,0.508,0.774,
1978,0.366,0.057,0.235,0.498,
1979,0.507,0.06,0.366,0.648,
1980,0.432,0.057,0.306,0.559,
1981,0.34,0.056,0.208,0.471,
1982,0.37,0.055,0.246,0.494,
1983,0.231,0.027,0.176,0.287,
1984,0.323,0.036,0.248,0.399,
1985,0.335,0.039,0.254,0.415,
1986,0.325,0.039,0.244,0.406,
1987,0.274,0.032,0.208,0.34,
1988,0.184,0.024,0.133,0.234,
1989,0.421,0.046,0.325,0.518,
1990,0.325,0.038,0.247,0.402,
1991,0.267,0.038,0.188,0.346,
1992,0.294,0.047,0.196,0.392,
1993,0.067,0.009,0.047,0.086,
1994,0.148,0.019,0.108,0.188,
1995,0.154,0.023,0.107,0.201,
1996,0.221,0.027,0.165,0.277,
1997,0.392,0.053,0.278,0.506,
1998,0.165,0.029,0.104,0.226,
1999,0.201,0.028,0.143,0.258,
2000,0.347,0.043,0.258,0.435,
2001,0.214,0.028,0.157,0.272,
2002,0.1,0.01 I,0.077,0.122,
2003,0.197,0.032,0.128,0.267,
2004,0.095,0.012,0.07,0.12,
2005,0.075,0.01,0.054,0.096,
2006,0.164,0.018,0.126,0.202,
2007,0.167,0.021,0.125,0.21,
2008,0.092,0.011,0.069,0.115,
2009,0.083,0.013,0.056,0.109,
2010,0.092,0.014,0.063,0.122,
2011,0.247,0.026,0.194,0.301,
2012,0.135,0.014,0.106,0.163,
2013,0.25,0.025,0.198,0.302,
2014,0.186,0.028,0.13,0.242,
2015,0.127,0.Ql8,0.09,0.163,
2016,0.187,0.02,0.146,0.228,
2017,0.291,0.05,0.182,0.4,
2018,0.111,0.021,0.065,0.156,
2019,0.145,0.019,0.104,0.185,
2020,0.238,0.049,0.133,0.342,
2021,0.223,0.031,0.16,0.286,
2022,0.231,0.028,0.175,0.287,
2023,0.451,0.088,0.258,0.643,
